study_id,relationship_to_proband,curie,subject_id,subject_label,predicate_id,object_id,code
,adopted child,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,CHLDADOPT,adopted child
,adopted daughter,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,DAUADOPT,adopted daughter
,adopted son,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,SONADOPT,adopted son
,adoptive father,KIN:022,KIN:022,isAdoptiveParentOf,skos:narrowMatch,ADOPTF,adoptive father
,adoptive mother,KIN:022,KIN:022,isAdoptiveParentOf,skos:narrowMatch,ADOPTM,adoptive mother
,adoptive parent,KIN:022,KIN:022,isAdoptiveParentOf,skos:exactMatch,ADOPTP,adoptive parent
,aunt,KIN:013,KIN:013,isParentalSiblingOf,skos:narrowMatch,AUNT,aunt
,niece/nephew,KIN:046,KIN:046,hasParentalSibling,skos:narrowMatch,FTD_EDIT ,FTD_EDIT
,brother,KIN:024,KIN:024,isSiblingFigureOf,skos:narrowMatch,BRO,brother
,brother-in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,BROINLAW,brother-in-law
,child,KIN:032,KIN:032,isBiologicalChildOf,skos:closeMatch,CHILD,child
,child-in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,CHLDINLAW,child-in-law
,cousin,KIN:014,KIN:014,isCousinOf,skos:exactMatch,COUSN,cousin
,daughter,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,DAUC,daughter
,daughter in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,DAUINLAW,daughter in-law
,domestic partner,KIN:026,KIN:026,isPartnerOf,skos:closeMatch,DOMPART,domestic partner
,extended family member,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
,family member,KIN:001,KIN:001,isRelativeOf,skos:broadMatch,FAMMEMB,family member
,biological family member,KIN:002,KIN:002,isBiologicalRelativeOf,skos:broadMatch,FAMMEMB,family member
,social legal family member,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:broadMatch,FAMMEMB,family member
,father,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,FTH,father
,father-in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,FTHINLAW,father-in-law
,former spouse,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,FMRSPS,former spouse
,foster child,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,CHLDFOST,foster child
,foster daughter,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,DAUFOST,foster daughter
,foster father,KIN:021,KIN:021,isFosterParentOf,skos:narrowMatch,FTHFOST,foster father
,foster mother,KIN:021,KIN:021,isFosterParentOf,skos:narrowMatch,MTHFOST,foster mother
,foster parent,KIN:021,KIN:021,isFosterParentOf,skos:exactMatch,PRNFOST,foster parent
,foster son,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,SONFOST,foster son
,fraternal twin,KIN:011,KIN:011,isPolyzygoticMultipleBirthSiblingOf,skos:exactMatch,FTWIN,fraternal twin
,fraternal twin brother,KIN:009,KIN:009,isMultipleBirthSiblingOf,skos:narrowMatch,FTWINBRO,fraternal twin brother
,fraternal twin sister,KIN:009,KIN:009,isMultipleBirthSiblingOf,skos:narrowMatch,FTWINSIS,fraternal twin sister
,gestational mother,KIN:005,KIN:005,isGestationalCarrierOf,skos:closeMatch,GESTM,gestational mother
,grandchild,KIN:036,KIN:036,isGrandchildOf,skos:exactMatch,GRNDCHILD,grandchild
,great grandchild,KIN:047,KIN:047,isGreatGrandchildOf,skos:broadMatch,FTD_EDIT GRNDCHILD,ftd_edit grandchild
,granddaughter,KIN:036,KIN:036,isGrandchildOf,skos:narrowMatch,GRNDDAU,granddaughter
,grandfather,KIN:017,KIN:017,isGrandparentOf,skos:narrowMatch,GRFTH,grandfather
,grandmother,KIN:017,KIN:017,isGrandparentOf,skos:narrowMatch,GRMTH,grandmother
,grandparent,KIN:017,KIN:017,isGrandparentOf,skos:exactMatch,GRPRN,grandparent
,grandson,KIN:036,KIN:036,isGrandchildOf,skos:narrowMatch,GRNDSON,grandson
,great grandfather,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,GGRFTH,great grandfather
,great grandmother,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,GGRMTH,great grandmother
,great grandparent,KIN:018,KIN:018,isGreatGrandparentOf,skos:exactMatch,GGRPRN,great grandparent
,half-brother,KIN:012,KIN:012,isHalfSiblingOf,skos:narrowMatch,HBRO,half-brother
,half-sibling,KIN:012,KIN:012,isHalfSiblingOf,skos:exactMatch,HSIB,half-sibling
cmg_yale,half sibling,KIN:012,KIN:012,isHalfSiblingOf,skos:exactMatch,HSIB,half-sibling
,maternal half-sibling,KIN:054,KIN:054,isMaternalHalfSiblingOf,skos:broadMatch,HSIB,half-sibling
,paternal half-sibling,KIN:055,KIN:055,isPaternalHalfSiblingOf,skos:broadMatch,HSIB,half-sibling
,half-sister,KIN:012,KIN:012,isHalfSiblingOf,skos:narrowMatch,HSIS,half-sister
,husband,KIN:026,KIN:026,isPartnerOf,skos:narrowMatch,HUSB,husband
,identical twin,KIN:010,KIN:010,isMonozygoticMultipleBirthSiblingOf,skos:exactMatch,ITWIN,identical twin
,identical twin brother,KIN:009,KIN:009,isMultipleBirthSiblingOf,skos:narrowMatch,ITWINBRO,identical twin brother
,identical twin sister,KIN:009,KIN:009,isMultipleBirthSiblingOf,skos:narrowMatch,ITWINSIS,identical twin sister
,inlaw,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,INLAW,inlaw
,maternal aunt,KIN:060,KIN:060,isMaternalAuntOf,skos:exactMatch,MAUNT,maternal aunt
,maternal cousin,KIN:015,KIN:015,isMaternalCousinOf,skos:exactMatch,MCOUSN,maternal cousin
,maternal grandfather,KIN:017,KIN:017,isGrandparentOf,skos:narrowMatch,MGRFTH,maternal grandfather
,maternal grandmother,KIN:017,KIN:017,isGrandparentOf,skos:narrowMatch,MGRMTH,maternal grandmother
,maternal grandparent,KIN:052,KIN:052,isMaternalGrandparentOf,skos:exactMatch,MGRPRN,maternal grandparent
,maternal great-grandfather,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,MGGRFTH,maternal great-grandfather
,maternal great-grandmother,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,MGGRMTH,maternal great-grandmother
,maternal great-grandparent,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,MGGRPRN,maternal great-grandparent
,maternal uncle,KIN:058,KIN:058,isMaternalUncleOf,skos:exactMatch,MUNCLE,maternal uncle
,mother,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,MTH,mother
,mother-in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,MTHINLAW,mother-in-law
inactive,inactive mother-in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,MTHINLOAW,mother-in-law
,natural brother,KIN:007,KIN:007,isBiologicalSiblingOf,skos:narrowMatch,NBRO,natural brother
,natural child,KIN:032,KIN:032,isBiologicalChildOf,skos:closeMatch,NCHILD,natural child
,natural daughter,KIN:032,KIN:032,isBiologicalChildOf,skos:narrowMatch,DAU,natural daughter
,natural father,KIN:028,KIN:028,isBiologicalFatherOf,skos:closeMatch,NFTH,natural father
,sperm donor natural father,KIN:004,KIN:004,isSpermDonorOf,skos:broadMatch,NFTH,natural father
,natural father of fetus,KIN:032,KIN:032,isBiologicalChildOf,skos:narrowMatch,NFTHF,natural father of fetus
,ovum donor natural mother,KIN:038,KIN:038,isOvumDonorOf,skos:broadMatch,NMTH,natural mother
,surrogate ovum donor natural mother,KIN:006,KIN:006,isSurrogateOvumDonorOf,skos:broadMatch,NMTH,natural mother
,natural mother ,KIN:027,KIN:027,isBiologicalMotherOf,skos:closeMatch,NMTH,natural mother 
,natural mother of fetus,KIN:032,KIN:032,isBiologicalChildOf,skos:narrowMatch,NMTHF,natural mother of fetus
,natural parent,KIN:003,KIN:003,isBiologicalParentOf,skos:closeMatch,NPRN,natural parent
,natural sibling,KIN:008,KIN:008,isFullsiblingOf,skos:closeMatch,NSIB,natural sibling
,natural sister,KIN:007,KIN:007,isBiologicalSiblingOf,skos:narrowMatch,NSIS,natural sister
,natural son,KIN:032,KIN:032,isBiologicalChildOf,skos:narrowMatch,SON,natural son
,nephew,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,NEPHEW,nephew
,niece,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,NIECE,niece
,niece/nephew,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,NIENEPH,niece/nephew
,parent,KIN:020,KIN:020,isParentFigureOf,skos:closeMatch,PRN,parent
,parent in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,PRNINLAW,parent in-law
,paternal aunt,KIN:061,KIN:061,isPaternalAuntOf,skos:exactMatch,PAUNT,paternal aunt
,paternal cousin,KIN:016,KIN:016,isPaternalCousinOf,skos:exactMatch,PCOUSN,paternal cousin
,paternal grandfather,KIN:017,KIN:017,isGrandparentOf,skos:narrowMatch,PGRFTH,paternal grandfather
,paternal grandmother,KIN:017,KIN:017,isGrandparentOf,skos:narrowMatch,PGRMTH,paternal grandmother
,paternal grandparent,KIN:053,KIN:053,isPaternalGrandparentOf,skos:exactMatch,PGRPRN,paternal grandparent
,paternal great-grandfather,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,PGGRFTH,paternal great-grandfather
,paternal great-grandmother,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,PGGRMTH,paternal great-grandmother
,paternal great-grandparent,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,PGGRPRN,paternal great-grandparent
,paternal uncle,KIN:059,KIN:059,isPaternalUncleOf,skos:exactMatch,PUNCLE,paternal uncle
,biological sibling,KIN:007,KIN:007,isBiologicalSiblingOf,skos:closeMatch,SIB,sibling
,sibling,KIN:024,KIN:024,isSiblingFigureOf,skos:broadMatch,SIB,sibling
,sibling in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,SIBINLAW,sibling in-law
,significant other,KIN:026,KIN:026,isPartnerOf,skos:closeMatch,SIGOTHR,significant other
,sister,KIN:024,KIN:024,isSiblingFigureOf,skos:narrowMatch,SIS,sister
,sister-in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,SISINLAW,sister-in-law
inactive,inactive sister-in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,SISLINLAW,sister-in-law
,son,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,SONC,son
,son in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,SONINLAW,son in-law
,spouse,KIN:026,KIN:026,isPartnerOf,skos:closeMatch,SPS,spouse
,step child,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,STPCHLD,step child
,step parent,KIN:023,KIN:023,isStepParentOf,skos:exactMatch,STPPRN,step parent
,step sibling,KIN:025,KIN:025,isStepSiblingOf,skos:exactMatch,STPSIB,step sibling
,maternal step sibling,KIN:056,KIN:056,isMaternalStepSiblingOf,skos:broadMatch,STPSIB,step sibling
,paternal step sibling,KIN:057,KIN:057,isPaternalStepSiblingOf,skos:broadMatch,STPSIB,step sibling
,stepbrother,KIN:025,KIN:025,isStepSiblingOf,skos:narrowMatch,STPBRO,stepbrother
,stepdaughter,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,STPDAU,stepdaughter
,stepfather,KIN:023,KIN:023,isStepParentOf,skos:narrowMatch,STPFTH,stepfather
cmg_yale,step father,KIN:023,KIN:023,isStepParentOf,skos:narrowMatch,STPFTH,stepfather
,stepmother,KIN:023,KIN:023,isStepParentOf,skos:narrowMatch,STPMTH,stepmother
,stepsister,KIN:025,KIN:025,isStepSiblingOf,skos:narrowMatch,STPSIS,stepsister
,stepson,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,STPSON,stepson
,twin,KIN:009,KIN:009,isMultipleBirthSiblingOf,skos:closeMatch,TWIN,twin
,twin brother,KIN:009,KIN:009,isMultipleBirthSiblingOf,skos:narrowMatch,TWINBRO,twin brother
,twin sister,KIN:009,KIN:009,isMultipleBirthSiblingOf,skos:narrowMatch,TWINSIS,twin sister
,uncle,KIN:013,KIN:013,isParentalSiblingOf,skos:narrowMatch,UNCLE,uncle
,niece or nephew,KIN:046,KIN:046,hasParentalSibling,skos:narrowMatch,FTD_EDIT,FTD_EDIT
,wife,KIN:026,KIN:026,isPartnerOf,skos:narrowMatch,WIFE,wife
cmg_yale,first cousin,KIN:014,KIN:014,isCousinOf,skos:exactMatch,COUSN,cousin
cmg_yale,other,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
cmg_yale,first cousin once removed,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
cmg_yale,grandmother's brother,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
cmg_yale,maternal great uncle,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
cmg_yale,non-identical twin brother,KIN:009,KIN:009,isMultipleBirthSiblingOf,skos:narrowMatch,FTWINBRO,fraternal twin brother
cmg_yale,non-identical twin sister,KIN:009,KIN:009,isMultipleBirthSiblingOf,skos:narrowMatch,FTWINSIS,fraternal twin sister
cmg_yale,sister and daughter,KIN:001,KIN:001,isRelativeOf,skos:broadMatch,FAMMEMB,family member
cmg_yale,half brother (unrelated to father),KIN:012,KIN:012,isHalfSiblingOf,skos:narrowMatch,HBRO,half-brother
cmg_yale,half sister (unrelated to father),KIN:012,KIN:012,isHalfSiblingOf,skos:narrowMatch,HSIS,half-sister
cmg_uwash,first_cousin,KIN:014,KIN:014,isCousinOf,skos:exactMatch,COUSN,cousin
cmg_uwash,maternal first cousin,KIN:015,KIN:015,isMaternalCousinOf,skos:exactMatch,MCOUSN,maternal cousin
cmg_uwash,paternal first cousin,KIN:016,KIN:016,isPaternalCousinOf,skos:exactMatch,PCOUSN,paternal cousin
cmg_uwash,half_brother,KIN:012,KIN:012,isHalfSiblingOf,skos:narrowMatch,HBRO,half-brother
cmg_uwash,half sister,KIN:012,KIN:012,isHalfSiblingOf,skos:narrowMatch,HSIS,half-sister
cmg_uwash,discordant monozygotic twin,KIN:010,KIN:010,isMonozygoticMultipleBirthSiblingOf,skos:exactMatch,ITWIN,identical twin
cmg_uwash,maternal_aunt,KIN:060,KIN:060,isMaternalAuntOf,skos:exactMatch,MAUNT,maternal aunt
cmg_uwash,maternal_grandmother,KIN:017,KIN:017,isGrandparentOf,skos:narrowMatch,MGRMTH,maternal grandmother
cmg_uwash,maternal_great_uncle,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
cmg_uwash,maternal greatgrandmother,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,MGGRMTH,maternal great-grandmother
cmg_uwash,maternal great grandmother,KIN:018,KIN:018,isGreatGrandparentOf,skos:narrowMatch,MGGRMTH,maternal great-grandmother
cmg_uwash,maternal_uncle,KIN:058,KIN:058,isMaternalUncleOf,skos:exactMatch,MUNCLE,maternal uncle
cmg_uwash,Paternal_aunt,KIN:061,KIN:061,isPaternalAuntOf,skos:exactMatch,PAUNT,paternal aunt
cmg_uwash,paternal_grandfather,KIN:017,KIN:017,isGrandparentOf,skos:narrowMatch,PGRFTH,paternal grandfather
cmg_uwash,paternal_grandmother,KIN:017,KIN:017,isGrandparentOf,skos:narrowMatch,PGRMTH,paternal grandmother
cmg_uwash,sibling-1,KIN:008,KIN:008,isFullsiblingOf,skos:closeMatch,NSIB,natural sibling
cmg_uwash,sibling #1,KIN:008,KIN:008,isFullsiblingOf,skos:closeMatch,NSIB,natural sibling
cmg_uwash,sibling #2,KIN:008,KIN:008,isFullsiblingOf,skos:closeMatch,NSIB,natural sibling
cmg_uwash,sibling #3,KIN:008,KIN:008,isFullsiblingOf,skos:closeMatch,NSIB,natural sibling
cmg_uwash,Second_cousin_once_removed,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
cmg_uwash,First_cousin_once_removed,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
cmg_uwash,maternal first cousin once removed,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
cmg_uwash,materal uncle,KIN:058,KIN:058,isMaternalUncleOf,skos:exactMatch,MUNCLE,maternal uncle
cmg_uwash,Married-in,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
cmg_uwash,mother,KIN:027,KIN:027,isBiologicalMotherOf,skos:closeMatch,NMTH,natural mother 
cmg_uwash,father,KIN:028,KIN:028,isBiologicalFatherOf,skos:closeMatch,NFTH,natural father
cmg_uwash,son,KIN:032,KIN:032,isBiologicalChildOf,skos:narrowMatch,SON,natural son
cmg_uwash,daughter,KIN:032,KIN:032,isBiologicalChildOf,skos:narrowMatch,DAU,natural daughter